5.417925478348439849e-01,5.000000000000001665e-02,1.937172774869109215e-01,1.811594202898550998e-01,7.222222222222220989e-01
2.920443101711984180e-01,1.000000000000000000e+00,3.596858638743455350e-01,4.565217391304348116e-01,2.407407407407406996e-01
9.519973145350790755e-01,9.375000000000000000e-02,3.544502617801046362e-01,7.246376811594207323e-03,1.111111111111109384e-01
1.090970124202752800e-01,8.437500000000000000e-01,4.031413612565443172e-02,6.376811594202898004e-01,7.222222222222220989e-01
2.732460557233971077e-01,1.718750000000000000e-01,3.089005235602093613e-01,6.376811594202898004e-01,3.148148148148146586e-01
3.454179254783484310e-01,9.375000000000000000e-02,5.376963350785338713e-01,4.927536231884057649e-01,7.222222222222220989e-01
5.773749580396106418e-02,5.312500000000000000e-01,6.424083769633506247e-01,4.202898550724637472e-01,6.666666666666667407e-01
1.678415575696542983e-01,5.312500000000000000e-01,9.999999999999998890e-01,7.463768115942028825e-01,9.444444444444444198e-01
6.042296072507553628e-01,1.562500000000000000e-02,1.937172774869109215e-01,4.565217391304348116e-01,3.518518518518518601e-01
7.186975495132594816e-01,6.875000000000000000e-01,3.848167539267015602e-01,5.072463768115942351e-01,5.555555555555558023e-02
6.203423967774421843e-01,1.000000000000000000e+00,4.361256544502617460e-01,1.666666666666666852e-01,5.925925925925927817e-01
4.373950990265190186e-01,5.312500000000000000e-01,1.413612565445027114e-02,6.739130434782608647e-01,2.037037037037039422e-01
5.740181268882176280e-01,2.867187500000000222e-01,6.952879581151830690e-01,7.101449275362318181e-01,7.407407407407418098e-02
7.509231285666331246e-01,7.812499999999972244e-04,6.445026178010471174e-01,4.565217391304348116e-01,5.925925925925927817e-01
4.655924806982209563e-01,3.062500000000000222e-01,9.041884816753925636e-01,4.130434782608695121e-01,2.037037037037039422e-01
4.326955354145686772e-01,2.187500000000000000e-01,6.141361256544501934e-01,2.391304347826087029e-01,2.037037037037039422e-01
3.366901644847264397e-01,5.156250000000000000e-01,4.853403141361255502e-01,1.347826086956521729e-01,9.444444444444444198e-01
4.095334004699563435e-02,6.250000000000000000e-01,1.753926701570680535e-01,4.927536231884057649e-01,2.777777777777779011e-01
